Timestamp,Step,train_loss,val_loss,perplexity,time_ms,tokens_per_second,learning_rate
2025-04-02T01:57:54,0,NA,50.606552,NA,NA,NA
2025-04-02T01:57:54,0,50.193459,NA,NA,NA,NA
2025-04-02T01:57:54,0,NA,NA,183.865228,NA,NA
2025-04-02T01:57:54,0,NA,NA,NA,1392.324219,NA
2025-04-02T01:57:54,0,NA,NA,NA,NA,0.001000
2025-04-02T01:57:54,1,45.966015,NA,NA,NA,NA
2025-04-02T01:57:54,1,NA,NA,209.622009,NA,NA
2025-04-02T01:57:54,1,NA,NA,NA,1221.245850,NA
2025-04-02T01:57:54,1,NA,NA,NA,NA,0.001000
2025-04-02T01:57:55,2,44.687370,NA,NA,NA,NA
2025-04-02T01:57:55,2,NA,NA,212.403981,NA,NA
2025-04-02T01:57:55,2,NA,NA,NA,1205.250488,NA
2025-04-02T01:57:55,2,NA,NA,NA,NA,0.000999
2025-04-02T01:57:55,3,43.190727,NA,NA,NA,NA
2025-04-02T01:57:55,3,NA,NA,240.772504,NA,NA
2025-04-02T01:57:55,3,NA,NA,NA,1063.244385,NA
2025-04-02T01:57:55,3,NA,NA,NA,NA,0.000998
2025-04-02T01:57:55,4,41.845612,NA,NA,NA,NA
2025-04-02T01:57:55,4,NA,NA,248.299450,NA,NA
2025-04-02T01:57:55,4,NA,NA,NA,1031.013184,NA
2025-04-02T01:57:55,4,NA,NA,NA,NA,0.000996
2025-04-02T01:57:55,5,38.856079,NA,NA,NA,NA
2025-04-02T01:57:55,5,NA,NA,252.161405,NA,NA
2025-04-02T01:57:55,5,NA,NA,NA,1015.222778,NA
2025-04-02T01:57:55,5,NA,NA,NA,NA,0.000994
2025-04-02T01:57:56,6,37.289818,NA,NA,NA,NA
2025-04-02T01:57:56,6,NA,NA,231.654828,NA,NA
2025-04-02T01:57:56,6,NA,NA,NA,1105.092407,NA
2025-04-02T01:57:56,6,NA,NA,NA,NA,0.000991
2025-04-02T01:57:56,7,36.624043,NA,NA,NA,NA
2025-04-02T01:57:56,7,NA,NA,225.943745,NA,NA
2025-04-02T01:57:56,7,NA,NA,NA,1133.025391,NA
2025-04-02T01:57:56,7,NA,NA,NA,NA,0.000988
2025-04-02T01:57:56,8,34.346825,NA,NA,NA,NA
2025-04-02T01:57:56,8,NA,NA,220.739708,NA,NA
2025-04-02T01:57:56,8,NA,NA,NA,1159.736938,NA
2025-04-02T01:57:56,8,NA,NA,NA,NA,0.000984
2025-04-02T01:57:56,9,34.038662,NA,NA,NA,NA
2025-04-02T01:57:56,9,NA,NA,223.335805,NA,NA
2025-04-02T01:57:56,9,NA,NA,NA,1146.255981,NA
2025-04-02T01:57:56,9,NA,NA,NA,NA,0.000980
2025-04-02T01:57:57,10,NA,33.756428,NA,NA,NA
2025-04-02T01:57:57,10,34.381874,NA,NA,NA,NA
2025-04-02T01:57:57,10,NA,NA,245.022041,NA,NA
2025-04-02T01:57:57,10,NA,NA,NA,1044.803955,NA
2025-04-02T01:57:57,10,NA,NA,NA,NA,0.000976
2025-04-02T01:57:58,11,32.336258,NA,NA,NA,NA
2025-04-02T01:57:58,11,NA,NA,226.632087,NA,NA
2025-04-02T01:57:58,11,NA,NA,NA,1129.584106,NA
2025-04-02T01:57:58,11,NA,NA,NA,NA,0.000970
2025-04-02T01:57:58,12,30.817442,NA,NA,NA,NA
2025-04-02T01:57:58,12,NA,NA,234.057252,NA,NA
2025-04-02T01:57:58,12,NA,NA,NA,1093.749512,NA
2025-04-02T01:57:58,12,NA,NA,NA,NA,0.000965
2025-04-02T01:57:58,13,31.477320,NA,NA,NA,NA
2025-04-02T01:57:58,13,NA,NA,243.054870,NA,NA
2025-04-02T01:57:58,13,NA,NA,NA,1053.260132,NA
2025-04-02T01:57:58,13,NA,NA,NA,NA,0.000959
2025-04-02T01:57:58,14,30.450743,NA,NA,NA,NA
2025-04-02T01:57:58,14,NA,NA,227.864397,NA,NA
2025-04-02T01:57:58,14,NA,NA,NA,1123.475220,NA
2025-04-02T01:57:58,14,NA,NA,NA,NA,0.000952
2025-04-02T01:57:58,15,29.001537,NA,NA,NA,NA
2025-04-02T01:57:58,15,NA,NA,229.658033,NA,NA
2025-04-02T01:57:58,15,NA,NA,NA,1114.700806,NA
2025-04-02T01:57:58,15,NA,NA,NA,NA,0.000946
2025-04-02T01:57:59,16,29.333464,NA,NA,NA,NA
2025-04-02T01:57:59,16,NA,NA,222.504011,NA,NA
2025-04-02T01:57:59,16,NA,NA,NA,1150.541016,NA
2025-04-02T01:57:59,16,NA,NA,NA,NA,0.000938
